filename,label,ground_truth,predicted_text,cer,wer,lev,acc,time
001_heo-cao-boi_F_crop_4.jpg,weight,200 g,200g,0.2,1.0,1,0,0.525
001_heo-cao-boi_F_crop_5.jpg,weight,100 g,100g,0.2,1.0,1,0,0.084
002_mi-ly-modern_F_crop_1.jpg,name,MÌ LY MODERN,MI MODERN,0.3333333333333333,0.6666666666666666,4,0,0.111
003_banh-crepe-sua-tuoi_B_crop_0.jpg,brand,SweetHome Bakery,Gweettbme  Bakoyy,0.3125,1.0,5,0,0.101
003_banh-crepe-sua-tuoi_B_crop_3.jpg,date,05/11/2024,05/11/2024,0.0,0.0,0,1,0.087
003_banh-crepe-sua-tuoi_B_crop_4.jpg,date,24h 11/11/2024,11/11/2024 '24h,0.6666666666666666,1.0,8,0,0.076
003_banh-crepe-sua-tuoi_F_crop_0.jpg,brand,SweetHome Bakery,Uweetfome - Bakeyy,0.25,1.0,4,0,0.074
003_che-buoi_F_crop_2.jpg,weight,140 g,140 9,0.2,0.5,1,0,0.067
003_che-buoi_F_crop_3.jpg,date,06/11/2024,06/11/2024,0.0,0.0,0,1,0.067
003_che-buoi_F_crop_4.jpg,date,10/11/2024,10/11/2024,0.0,0.0,0,1,0.058
004_cal-cheese_F_crop_0.jpg,brand,MAYORA,MAYORA,0.0,0.0,0,1,0.057
004_cal-cheese_F_crop_1.jpg,weight,48g,[898,1.0,1.0,3,0,0.065
004_cal-cheese_F_crop_2.jpg,weight,48g,[8g,0.3333333333333333,1.0,1,0,0.056
004_cal-cheese_F_crop_3.jpg,name,Thực Phẩm Bổ Sung Bánh Xốp Kem Phô Mai Cal Cheese,Jhuc Phan Bà Sung Bamh Kop Kem Phò Mai Ca Chesse,0.24489795918367346,0.7272727272727273,12,0,0.099
007_snack-nhan-dau-phong_F_crop_0.jpg,name,SNACK NHÂN ĐẬU PHỘNG,SNack NuầNpẬU PHộNG,0.2,0.5,4,0,0.075
009_sting-vang_B_crop_0.jpg,name,NƯỚC TĂNG LỰC STING,1 9 2 1,0.8421052631578947,1.0,16,0,0.103
009_sting-vang_B_crop_1.jpg,weight,320 ml,g 2,0.8333333333333334,1.0,5,0,0.06
011_sting_B_crop_0.jpg,name,NƯỚC TĂNG LỰC STING HƯƠNG DÂU TÂY ĐỎ,Metanciucs STI VhuTKe DAu TAY D6,0.6111111111111112,1.0,22,0,0.112
011_sting_B_crop_1.jpg,weight,320 ml,B20m,0.5,1.0,3,0,0.054
012_banh-hoa-cuc_F_crop_0.jpg,brand,Fe'sta,Festa,0.0,0.0,0,1,0.054
012_banh-hoa-cuc_F_crop_1.jpg,name,Hoa cúc ngàn lớp,cúc Hoa ngàn lóp,0.4375,0.75,7,0,0.086
013_snack-vi-suon-nuong_F_crop_0.jpg,brand,Lay's,[9ys,0.5,1.0,2,0,0.046
014_mentos-keo-ngam-khong-duong_F_crop_1.jpg,brand,mentos,mentos,0.0,0.0,0,1,0.045
015_mentos-keo-ngam-khong-duong_B_crop_0.jpg,name,KẸO NGẬM KHÔNG ĐƯỜNG,KẸO NGẬMn-iÔNg DUjỜìG,0.35,0.75,7,0,0.062
015_mentos-keo-ngam-khong-duong_B_crop_2.jpg,weight,35 g,35 g,0.0,0.0,0,1,0.044
018_himalaya-salt_F_crop_1.jpg,brand,HIMALAYA Sports,HIMALAYA SPorts,0.0,0.0,0,1,0.072
019_himalaya-salt_B_crop_3.jpg,date,10/09/2024,1,0.875,1.0,7,0,0.044
019_himalaya-salt_B_crop_4.jpg,date,09/09/2026,{,1.0,1.0,8,0,0.062
022_marshmallows_B_crop_0.jpg,date,02/07/2024,102/07/2024,0.125,1.0,1,0,0.042
022_marshmallows_B_crop_1.jpg,date,01/10/2025,01/70/2025,0.125,1.0,1,0,0.043
023_lap-xuong_F_crop_0.jpg,name,LẠP XƯỞNG,LẠP XƯỞNG,0.0,0.0,0,1,0.043
023_lap-xuong_F_crop_1.jpg,brand,Greenfeed,GREEE55,0.4444444444444444,1.0,4,0,0.044
025_rong-bien_F_crop_1.jpg,name,Rong Biển,Z~ba,0.8888888888888888,1.0,8,0,0.049
025_rong-bien_F_crop_2.jpg,weight,20 g,209,0.5,1.0,2,0,0.042
026_vinamilk-sua-dinh-duong-socola_F_crop_1.jpg,name,SỮA DINH DƯỠNG ,VfI NA) SĨA DINHDUÕNG,0.7857142857142857,1.3333333333333333,11,0,0.062
